,﻿
呥,rán
呧,dǐ
呩,shì
呪,zhòu
呫,tiè
呬,xì
呭,yì
呮,qì
呯,píng
呰,zǐ
呴,xǔ
呹,yì
呺,xiāo
呾,dá
呿,qù
咁,gàn
咃,tuō
咅,pǒu
咇,bié
咈,fú
咉,yāng
咊,hé
咍,hāi
咑,dā
咓,wǎ
咗,zuo
咘,bù
咜,ta
咞,xiàn
咟,huò
咠,qì
咡,èr
咢,è
咥,xì
咮,zhòu
咰,shù
咲,xiào
咵,kuǎ
咶,huài
咷,táo
咹,è
咺,xuǎn
咼,guō
咾,lǎo
哃,tóng
哅,xiōng
哊,yòu
哋,diè
哖,nián
哘,xing
哛,fēn
哠,hào
員,yuán
哢,lòng
哣,pǒu
哤,máng
哫,zú
哬,hé
哯,xiàn
哰,láo
哱,bō
哴,liàng
哵,bā
哶,miē
哷,liè
哸,suī
哹,fú
哻,hān
哾,shuō
唀,yòu
唂,gū
唃,gǔ
唄,bei
唅,hán
唈,yì
唊,jiá
唋,tū
唌,xián
唍,wǎn
唎,lì
唒,qiú
唓,chē
唕,zào
唖,yǎ
唗,dōu
唘,qǐ
唙,dí
唚,qìn
唜,mò
唝,gòng
唞,dǒu
唟,qù
唡,liǎng
唥,lang
唦,shā
唨,zǔ
唩,wō
唫,jìn
唭,qì
唲,ér
唴,qiàng
唵,ǎn
唶,zé
唸,niàn
唹,yū
唺,tiǎn
唻,lài
唽,xī
啀,ái
啂,nǒu
啅,zhuó
啇,dì
啈,hēng
啋,cǎi
啌,xiāng
啍,tūn
啎,wǔ
問,wèn
啑,shà
啒,gǔ
啓,qǐ
啔,qǐ
啗,dàn
啘,yè
啙,zǐ
啚,bǐ
啛,cuì
啝,hé
啞,yǎ
啟,qǐ
啠,zhé
啢,liǎng
啣,xián
啨,yīng
啩,guà
啫,zhě
啯,guō
啰,luō
啱,yán
啲,dī
啳,quán
啴,chǎn
啹,jú
啺,táng
啽,án
啿,dàn
喅,yù
喆,zhé
喌,zhōu
喍,chái
喎,wāi
喐,yù
喒,zá
喓,yāo
喕,miǎn
喖,hú
喗,yǔn
喚,huàn
喛,huàn
喞,jī
喠,zhǒng
喡,wéi
喢,shà
喣,xǔ
喤,huáng
喥,duó
喦,niè
喨,liàng
喩,yù
喪,sàng
喫,chī
喬,qiáo
喭,yàn
單,dān
喯,pèn
喰,cān
喲,yō
喴,wēi
営,yíng
喸,bǔ
喺,xí
喼,jiē
喿,zào
嗀,hù
嗁,tí
嗂,yáo
嗃,hè
嗆,qiāng
嗇,sè
嗈,yōng
嗊,hǒng
嗋,xié
嗎,ma
嗏,chā
嗐,hài
嗕,rù
嗗,wā
嗘,jī
嗙,pǎng
嗚,wū
嗛,qiǎn
嗞,zī
嗠,lào
嗢,wà
嗧,嗧
嗩,suǒ
嗭,zhí
嗮,sài
嗰,gě
嗱,ná
嗴,qiāng
嗶,bì
嗸,áo
嗹,lián
嗺,zuī
嗻,zhē
嗼,mò
嗿,tǎn
嘂,jiào
嘃,chōng
嘄,jiāo
嘅,kǎi
嘆,tàn
嘇,shān
嘊,ái
嘋,xiào
嘍,lóu
嘐,xiāo
嘑,hū
嘒,huì
嘓,guō
嘔,ǒu
嘕,xiān
嘖,zé
嘗,cháng
嘙,pó
嘚,dē
嘜,mà
嘝,hú
嘠,gā
嘡,tāng
嘢,yě
嘥,sāi
嘦,jiào
嘨,xiào
嘩,huā
嘪,mǎi
嘫,rán
嘮,láo
嘯,xiào
嘰,jī
嘳,kuì
嘵,xiāo
