ujie	单车
djdd	弹带
djdc	弹道
dddd	弹道导弹
dddi	弹道低
ddgc	弹道高
ddjs	弹道计算
ddmd	弹道末端
ddqx	弹道切线
ddqu	弹道区
ddud	弹道式导弹
ddxt	弹道学
ddys	弹道要素
ddvb	弹道准备
ddzd	弹道最大高度
ddzd	弹道最高点
ujds	单动
uduy	单独使用
dje	弹耳
ufvj	单发战斗机
ufzt	单发阻铁
ufzh	单发阻铁簧
ufvx	单方战术演习
ughj	单个核突击
ugjl	单个教练
ugmb	单个目标
ugql	单个起爆电流
ugql	单勾枪
djgu	弹鼓
ujgr	单管
dhyj	氮化铅
djho	弹或
djji	弹迹
ujjm	单舰
ujjm	单箭
ujgj	单舰攻击
ujxl	单舰训练
djjk	弹径
djke	弹壳
djkg	弹坑
dkqn	弹坑桥
djlm	弹链
dlhl	弹链盒容量
ujlp	单列
uldl	单列地雷
ultx	单路通信
ujma	单码
dmuj	弹幕射击
ujrf	单人
uryt	单人掩体
duyq	弹上仪器
ujuc	单哨
dudr	但是刀刃
uutd	单手突击刀
uuwi	单手握持
dtvk	但它主要依靠
djti	弹体
ujtk	单艇
utgj	单艇攻击
djtz	弹头
dtdl	弹头当量
dtdn	弹头动能
dtfj	弹头反射面积
dthl	弹头活力
dtjc	弹头检测
dtjl	弹头降落量
dtwl	弹头威力
dtvd	弹头终点
dtvl	弹头重量
djwj	弹丸
uwyl	单位压力
dxkz	弹匣扣
dxkh	弹匣扣簧
dxrl	弹匣容量
dxzo	弹匣座
uxtl	单线铁路
ujxl	单向
uxtx	单向通信
uxwq	单向稳定器
uxyu	单向运输
uyob	单牙月
djyc	弹药
dybj	弹药标记
dyju	弹药基数
dyjv	弹药技术检查
dyku	弹药库
dypg	弹药配套保管
dyuz	弹药手
dyso	弹药所
dyvv	弹药转运站
uycl	单元测量
ujva	单扎
dvdm	弹着点
dmqk	当面情况
dmvd	当面之敌
dnbj	挡泥板
dqrw	当前任务
dhri	党日
drrw	当日任务
dhww	党委
dwky	党委扩大会议
dwvi	党委制
dwed	当吾二十石
dwev	当吾二十钟
dvlb	党政领导干部
dvbu	党支部
dvyd	当中一点
dbff	导爆法传爆法
dbff	导爆法点火法
dbso	导爆索
dcbn	导标
dihd	道床厚度
ddux	到达时限
ddbd	导弹部队
ddch	导弹残骸
